"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
"7466","33.7716966","-118.267445","200","","","","OVERPASS","","","parking","parking"
"24119","37.3639731","-115.159976","50","Lincoln Physical Therapy","","","OVERPASS","","","clinic","healthcare"
"7540","40.2815628","-74.7407837","50","Rider University","","","OVERPASS","","","university","education"
"7541","41.495959","-83.1457623","100","","","","OVERPASS","","","veterinary","healthcare"
"7544","44.9742319","-93.3852703","50","","","","OVERPASS","","","parking","parking"
"7585","44.5749984","-123.2668288","50","","","","OVERPASS","","","parking","parking"
"7588","35.9641023","-115.167701","50","","","","OVERPASS","","","parking","parking"
"7589","36.1708162","-115.16121","200","Costco Gasoline","","customers","OVERPASS","['unknown']","","fuel","transport"
"7594","39.8002986","-75.3430035","200","Logan Township Municipal Building","","","OVERPASS","","","townhall","government_civic"
"24221","36.7398363","-79.9540088","200","Marathon Gas"," Hardee's""""","Fairy Stone Park Highway Stanleytown VA 24168, Fairy Stone Park Highway Stanleytown VA 24168"",,OVERPASS,,,""car_wash, fast_food, fuel"",food_and_drink","","","","",""
"24224","40.9836254","-74.1173252","50","","","","OVERPASS","","","parking","parking"
"7642","42.9524368","-78.6937367","200","","","","OVERPASS","","","parking","parking"
"7643","44.9748587","-93.4035178","50","","","","OVERPASS","","","parking","parking"
"7644","37.3964697","-122.104418","50","","","","OVERPASS","","","parking","parking"
"7645","38.0967543","-78.4660523","50","","","","OVERPASS","","","parking","parking"
"24261","43.0555835","-89.290414","50","","","","OVERPASS","","","parking","parking"
"7696","43.7957726","-70.2521277","50","","","","OVERPASS","","","parking","parking"
"7700","37.4819125","-122.165475","50","","","private","OVERPASS","","","parking","parking"
"7739","35.816618","-78.6591856","100","","","","OVERPASS","","","bicycle_parking","parking"
"7740","39.7033637","-104.9356624","50","4500 Cherry Creek Corporate Center","","","OVERPASS","","","parking","parking"
"24340","45.1235768","-67.3485933","50","Irving","","","OVERPASS","","","fuel","transport"
"7789","43.4369878","-83.9897708","100","Citizens Bank","","","OVERPASS","","","bank","financial"
"7791","30.2926794","-97.5536441","50","","","","OVERPASS","","","parking","parking"
"24386","38.7453723","-90.7458494","50","","","","OVERPASS","","","parking","parking"
"7837","36.1648762","-115.1537757","100","Clark County Government Center Self Parking","","","OVERPASS","","","parking","parking"
"7838","37.6156234","-122.3925431","200","Garage G","North Link Road","yes","OVERPASS","","","parking","parking"
"7840","39.0000333","-77.1034762","50","National Institutes of Health","Rockville Pike Bethesda MD 20892","","OVERPASS","","","research_institute","other"
"7841","42.4439515","-76.4795344","50","Hoy Road Garage","","yes","OVERPASS","","","parking","parking"
"7843","43.3099352","-70.9932618","50","","","","OVERPASS","","","parking","parking"
"7846","39.3081938","-74.5997464","50","","","","OVERPASS","","","parking","parking"
"7872","39.1320571","-94.5252415","50","","","private","OVERPASS","","","parking","parking"
"7874","40.5710837","-74.6510089","200","","","customers","OVERPASS","","","parking","parking"
"7875","40.7011715","-99.0932331","50","Lot 8","","","OVERPASS","","","parking","parking"
"7877","29.4249701","-95.0612281","50","ChargePoint","","","OVERPASS","","","charging_station","transport"
"7880","32.8426012","-96.849314","50","Garage A","","","OVERPASS","","","parking","parking"
"24461","42.1487354","-86.4433647","100","","","","OVERPASS","","","parking","parking"
"7918","33.640432","-117.8515464","50","Lot 70","","","OVERPASS","","","parking","parking"
"7920","37.0698871","-94.4935811","50","Joplin Public Library","","","OVERPASS","","","library","other"
"7921","37.3320049","-122.0236331","200","Peninsula Bible Church Cupertino","North Blaney Avenue Cupertino CA 95014-6006","","OVERPASS","","","place_of_worship","other"
"7922","37.4045639","-121.9276756","100","","","private","OVERPASS","","","parking","parking"
"7924","42.58941","-71.3071794","50","","","","OVERPASS","","","parking","parking"
"7925","42.6466474","-73.7732016","50","","","customers","OVERPASS","","","parking","parking"
"7930","33.742449","-84.3894794","50","","","","OVERPASS","","","parking","parking"
"7964","42.2245562","-83.3463924","50","Big Blue Deck Parking","","yes","OVERPASS","","","parking","parking"
"7965","42.5719419","-76.2177533","200","Applebee's","State Route 13 Cortland NY 13045","","OVERPASS","","","restaurant","food_and_drink"
"7966","27.3061278","-80.3019232","200","","","","OVERPASS","","","parking_space","parking"
"7968","34.0227826","-118.3906775","200","The Culver Studios","","","OVERPASS","","","studio","other"
"7969","41.6110972","-87.0530821","50","Chesterton Bandstand","","","OVERPASS","","","shelter","other"
"8007","41.4800726","-72.1028161","50","","","","OVERPASS","","","parking","parking"
"8015","40.3096496","-79.5549246","50","E Lot","","yes","OVERPASS","","","parking","parking"
"24576","47.6221352","-122.179093","50","","","","OVERPASS","","","parking_entrance","parking"
"24577","25.7260509","-80.2618951","100","Chicken Kitchen","South Dixie Highway Coral Gables FL 33146","","OVERPASS","","","restaurant","food_and_drink"
"24579","32.8809612","-96.955712","50","","","","OVERPASS","","","parking","parking"
"24580","34.1542712","-93.0647556","100","","","","OVERPASS","","","parking","parking"
"8057","30.2138324","-95.4590104","50","","","","OVERPASS","","","parking","parking"
"24621","33.4857662","-112.0725517","50","","Phoenix AZ","","OVERPASS","","","parking","parking"
"24622","34.1151155","-84.7458775","50","","","","OVERPASS","","","parking","parking"
"8107","30.3926801","-97.8499443","200","","","","OVERPASS","","","parking","parking"
"24657","27.7713417","-82.6490488","50","Poppo's Taquiera"," Cecelia's Sweets""""","Central Avenue Saint Petersburg FL, Central Avenue Saint Petersburg FL"",customers,OVERPASS,['11:00-21:00'],,""bench, bicycle_parking, ice_cream, parking, restaurant"",food_and_drink","","","","",""
"8156","33.4416334","-117.627809","50","ChargePoint","","","OVERPASS","","","charging_station","transport"
"8157","45.5949916","-95.878938","50","","","unknown","OVERPASS","","","parking","parking"
"8158","33.1786263","-96.829315","200","Memorial High School","","","OVERPASS","","","school","education"
"8159","33.8399735","-117.9361679","100","Adelaide Price Elementary School","","","OVERPASS","","","school","education"
"8209","33.5932814","-101.8644319","50","","","","OVERPASS","","","parking","parking"
"8212","38.0175273","-122.5324033","50","","","","OVERPASS","","","parking","parking"
"8213","41.6592859","-70.2792247","100","","","","OVERPASS","","","parking","parking"
"8215","44.954477","-92.9878597","50","","","","OVERPASS","","","parking","parking"
"8216","45.1976635","-123.2000025","50","Withnell Commons","SE Lakamas Ln McMinnville OR 97128","","OVERPASS","","","mailroom","other"
"8218","33.6918394","-117.8888185","50","","","","OVERPASS","","","parking","parking"
"8229","41.051398","-74.0612617","100","","","customers","OVERPASS","","","parking","parking"
"8256","33.3464605","-111.9655526","200","","","","OVERPASS","","","waste_disposal","other"
"24795","33.9781316","-118.4118241","100","","","","OVERPASS","","","bench","other"
"8297","39.1500339","-84.5364677","100","Cincinnati State Technical and Community College","","","OVERPASS","","","college","education"
"8298","43.8165934","-91.2463807","50","","","","OVERPASS","","","parking","parking"
"8305","37.4139881","-77.4472862","50","","","","OVERPASS","","","parking","parking"
"8307","42.3451558","-71.2560108","50","","","private","OVERPASS","","","parking","parking"
