"id","lat","lon","radius","name_overpass","address_overpass","access","source","operation_hours","operation_hours_json","amenity","amenity_category"
16286,35.5768668,-120.722921,50,"nan","nan","customers","OVERPASS","nan","nan","parking","parking"
16287,37.3310428,-121.8931451,50,"Adobe Employee Parking","nan","private","OVERPASS","nan","nan","parking_entrance","parking"
16288,38.7336855,-77.7708818,50,"Outback Steakhouse","Lee Highway 20187","nan","OVERPASS","nan","nan","restaurant","food_and_drink"
16289,39.1257426,-119.772179,50,"Chevron","nan","customers","OVERPASS","nan","nan","fuel, parking","parking"
16290,42.1476583,-71.4886533,50,"McDonald's","Medway Road Milford MA 01757","destination","OVERPASS","['Su-Th 05:00-24:00', 'Fr-Sa 05:00-01:00']","nan","fast_food, parking","food_and_drink"
16291,46.0535294,-118.3556147,100,"Jonathan M. Wainwright Memorial VA Medical Center","Wainwright Drive Walla Walla WA 99362","nan","OVERPASS","nan","nan","hospital","healthcare"
16292,33.6200958,-117.8744101,100,"nan","Newport Center Drive Newport Beach CA 92660","nan","OVERPASS","nan","nan","parking","parking"
16293,36.0663072,-80.2479263,200,"Flow Subaru","Silas Creek Parkway Winston Salem NC 27127","nan","OVERPASS","nan","nan","parking","parking"
16294,39.7736335,-104.9983013,100,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16295,40.9040964,-98.3790221,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16296,42.3484554,-71.0384942,50,"Seaport Social","Northern Avenue Boston MA 02210","nan","OVERPASS","nan","nan","bench, restaurant","food_and_drink"
16297,47.0355103,-91.6453347,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16298,47.6921934,-122.1526999,50,"nan","nan","nan","OVERPASS","nan","nan","parking_entrance, security_booth, waste_basket","parking"
16299,29.5397289,-98.5772164,50,"nan","nan","private, private","OVERPASS","nan","nan","charging_station, parking, parking_entrance","parking"
16300,33.4792497,-81.9708758,50,"Nathan Deal Campus Parking","nan","yes","OVERPASS","nan","nan","parking","parking"
16301,35.4347042,-85.5394548,50,"Savage Gulf Ranger Station","nan","nan","OVERPASS","nan","nan","parking, ranger_station","parking"
16302,41.5987865,-72.985958,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16303,44.5756377,-123.260537,50,"nan","nan","nan","OVERPASS","nan","nan","parking","parking"
16304,34.5166789,-93.0531259,50,"Arlington Bar","nan","nan","OVERPASS","nan","nan","cafe, parking","food_and_drink"
16305,35.8357186,-78.6434535,50,"Tesla Supercharger","nan","nan","OVERPASS","nan","nan","charging_station, parking, parking_entrance","parking"
16306,38.7834091,-77.7396526,50,"Pearmund Cellars Winery","Georgetown Road Broad Run VA 20137","nan","OVERPASS","nan","nan","bar","food_and_drink"
16307,42.2817984,-85.613105,100,"Waldo Library Book Return Drop Box, Parking Lot 27, Waldo Library","Arcadia Loop Kalamazoo MI","nan","OVERPASS","['Aug-Apr: Mo-Th 06:00-23:00, Aug-Apr: Fr 06:00-22:00, Aug-Apr: Sa 10:00-19:00, Aug-Apr: Su 10:00-21:00']","nan","library, parking","parking"
16308,45.4196387,-122.6682061,50,"Banner Bank","A Avenue Lake Oswego OR 97034","nan","OVERPASS","['Mo-Th 09:00-17:00', 'Fr 09:00-18:00']","nan","bank, library_dropoff, parking, polling_station","financial"
